Base,Dirección,Colonia,m2,Clasif.,Antigüedad,Clasif.,Elev,Est,Rec,Bañ,"Interior 
Exteriror",Balcón,Roof privado/ Patio interior,m2 Roof privado/ Patio interior,Amenidades,Bodega,Cuarto de servicio,Jaula de tendido,Seguridad,Costo Mantenimiento,Precio de venta,Sin Estacionamiento,$/m2,$/m2 (-5%),$/m2 sin est,Link
CK Leads,av cuauhtemoc 1378,Santa Cruz Atoyac,75,2,9,3,Sí,2,2,1,Exterior ,No,,,Sí,Sí,,,Sí,1890,"$2,800,000","$2,677,179","$37,333","$35,467","$35,696",
CK Leads,"Filipinas 205, departamento B",Portales Norte,56,1,0,1,No,1,3,1,Interior,No,,,No,No,,,No,800,"$2,550,000","$2,427,179","$45,536","$43,259","$43,342",
CK Leads,"Shakespeare 192, int 5",Veronica Anzures,76,2,45,7,No,1,2,1,Exterior,,,,No,,,,No,,"$3,200,000","$3,077,179","$42,105","$40,000","$40,489",
CK Leads,Paseo de la hacienda 85,Paseos de Taxqueña,77,2,35,7,No,1,2,1,Exterior,,,,No,,,,No,550,"$2,200,000","$2,077,179","$28,571","$27,143","$26,976",
CK Leads,Cuauhtémoc 1176,Letran Valle,77,2,5,2,Sí,1,2,2,Interior,,,,Sí,,,,Sí,1200,"$3,450,000","$3,327,179","$44,805","$42,565","$43,210",
CK Leads,Torres Adalid 1014,Narvarte Poniente,77,2,45,7,No,1,3,2,Interior,,,,No,,,,No,750,"$2,700,000","$2,577,179","$35,065","$33,312","$33,470",
CK Leads,Leonardo Da Vinci 218,Nonoalco ,77,2,10,3,Sí,2,2,2,Interior,,,,Sí,,,,Sí,1650,"$4,200,000","$4,077,179","$54,545","$51,818","$52,950",
CK Leads,"San Antonio 95, Depto 402",Napoles,77,2,0,1,Sí,1,2,2,Exterior,,,,Sí,,,,Sí,2000,"$5,763,120","$5,640,299","$74,710","$70,974","$73,118",
CK Leads,Juan Sánchez Azcona 346,Narvarte Poniente,78,2,18,5,No,1,2,1,Interior,Sí,,,No,,,,No,1300,"$3,200,000","$3,077,179","$41,026","$38,974","$39,451",
CK Leads,Nicolas San Juan 1549,Del Valle Sur,79,2,50,7,,1,2,1,Interior ,,,,,,,,Sí,,"$2,400,000","$2,277,179","$30,380","$28,861","$28,825",
CK Leads,Tlalpan 1238,Albert,79,2,4,2,Sí,1,2,2,Exterior ,,35,,Sí,Sí,,,Sí,1550,"$3,325,000","$3,202,179","$42,089","$39,984","$40,534",
CK Leads,Maztlán 32,Condesa,80,2,44,7,,1,2,2,Interior ,,,,,,,,No,,"$3,000,000","$2,877,179","$37,500","$35,625","$35,965",
CK Leads,jalapa 55,Roma Norte,80,2,30,6,No,1,3,2,Exterior,,,,No,,,,Sí,,"$2,900,000","$2,777,179","$36,250","$34,438","$34,715",
CK Leads,Montealban 348,Narvarte Poniente,80,2,45,7,No,1,2,2,Interior,,,,No,,,,No,250,"$2,790,000","$2,667,179","$34,875","$33,131","$33,340",
CK Leads,Jose Maria Rico 208,Acacias,80,2,40,7,Sí,1,2,1,Interior,,,,No,,,,No,,"$3,100,000","$2,977,179","$38,750","$36,813","$37,215",
CK Leads,Saratoga 405,Portales Norte,60,1,3,2,Sí,1,2,1,Interior,,No,,No,No,No,No,Sí,1500,"$2,690,000","$2,567,179","$44,833","$42,592","$42,786",
